Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
10.05.2019 00:00:57;1557439257632;10;0;0;7;2;2;3
10.05.2019 00:01:57;1557439317643;10;0;3;8;2;1;3
10.05.2019 00:02:57;1557439377653;10;0;3;7;2;2;3
10.05.2019 00:03:57;1557439437668;10;0;2;7;2;2;3
10.05.2019 00:04:57;1557439497675;10;0;1;5;2;2;3
10.05.2019 00:05:57;1557439557686;10;0;0;6;2;2;3
10.05.2019 00:06:57;1557439617696;10;0;3;7;1;2;3
10.05.2019 00:07:57;1557439677709;10;0;1;7;1;2;3
10.05.2019 00:08:57;1557439737719;10;0;0;5;2;2;3
10.05.2019 00:09:57;1557439797730;10;0;3;5;2;2;3
10.05.2019 00:10:57;1557439857741;10;0;0;6;2;2;3
10.05.2019 00:11:57;1557439917752;10;0;1;9;1;1;3
10.05.2019 00:12:57;1557439977763;10;0;3;5;2;2;3
10.05.2019 00:13:57;1557440037773;10;0;3;9;1;1;3
10.05.2019 00:14:57;1557440097785;10;0;2;9;1;1;3
10.05.2019 00:15:57;1557440157795;10;0;3;7;1;1;3
10.05.2019 00:16:57;1557440217806;10;0;0;8;2;2;3
10.05.2019 00:17:57;1557440277817;10;0;0;9;2;1;3
10.05.2019 00:18:57;1557440337827;10;0;2;8;1;1;3
10.05.2019 00:19:57;1557440397839;10;0;0;7;2;2;3
10.05.2019 00:20:57;1557440457849;10;0;0;6;2;2;3
10.05.2019 00:21:57;1557440517860;10;0;0;8;2;2;3
10.05.2019 00:22:57;1557440577872;10;0;0;9;1;1;3
10.05.2019 00:23:57;1557440637882;10;0;3;6;2;2;3
10.05.2019 00:24:57;1557440697893;10;0;0;7;2;2;3
10.05.2019 00:25:57;1557440757905;10;0;1;5;2;2;3
10.05.2019 00:26:57;1557440817917;10;0;0;10;1;1;3
10.05.2019 00:27:57;1557440877930;10;0;3;6;2;2;3
10.05.2019 00:28:57;1557440937938;10;0;0;5;2;2;3
10.05.2019 00:29:57;1557440997950;10;0;0;4;2;2;3
10.05.2019 00:30:57;1557441057960;10;0;1;5;2;2;3
10.05.2019 00:31:57;1557441117971;10;0;0;6;2;2;3
10.05.2019 00:32:57;1557441177982;10;0;3;7;1;2;3
10.05.2019 00:33:57;1557441237992;10;0;3;5;2;2;3
10.05.2019 00:34:58;1557441298003;10;0;0;9;2;1;3
10.05.2019 00:35:58;1557441358014;10;0;0;8;2;2;3
10.05.2019 00:36:58;1557441418025;10;0;1;4;2;2;3
10.05.2019 00:37:58;1557441478036;10;0;0;7;2;2;3
10.05.2019 00:38:58;1557441538046;10;0;3;7;2;2;3
10.05.2019 00:39:58;1557441598059;10;0;3;9;2;1;3
10.05.2019 00:40:58;1557441658068;10;0;0;7;2;2;3
10.05.2019 00:41:58;1557441718079;10;0;2;7;2;2;3
10.05.2019 00:42:58;1557441778090;10;0;0;4;2;2;3
10.05.2019 00:43:58;1557441838100;10;0;0;5;2;2;3
10.05.2019 00:44:58;1557441898112;10;0;3;7;2;2;3
10.05.2019 00:45:58;1557441958123;10;0;0;8;2;2;3
10.05.2019 00:46:58;1557442018134;10;0;1;8;1;1;3
10.05.2019 00:47:58;1557442078145;10;0;3;8;1;1;3
10.05.2019 00:48:58;1557442138156;10;0;0;7;2;2;3
10.05.2019 00:49:58;1557442198167;10;0;0;10;1;1;3
10.05.2019 00:50:58;1557442258178;10;0;2;7;2;2;3
10.05.2019 00:51:58;1557442318187;10;0;0;5;2;2;3
10.05.2019 00:52:58;1557442378199;10;0;0;9;1;1;3
10.05.2019 00:53:58;1557442438209;10;0;3;8;2;2;3
10.05.2019 00:54:58;1557442498221;20;0;1;9;1;1;3
10.05.2019 00:55:58;1557442558231;10;0;3;6;2;2;3
10.05.2019 00:56:58;1557442618242;10;0;1;7;1;2;3
10.05.2019 00:57:58;1557442678253;10;0;1;5;2;2;3
10.05.2019 00:58:58;1557442738266;10;0;0;5;2;2;3
10.05.2019 00:59:58;1557442798275;10;0;3;8;1;1;3
10.05.2019 01:00:58;1557442858285;10;0;2;4;2;2;3
10.05.2019 01:01:58;1557442918294;10;0;3;7;2;2;3
10.05.2019 01:02:58;1557442978302;10;0;3;6;2;2;3
10.05.2019 01:03:58;1557443038312;10;0;3;4;2;2;3
10.05.2019 01:04:58;1557443098320;10;0;3;10;2;1;3
10.05.2019 01:05:58;1557443158327;10;0;0;6;2;2;3
10.05.2019 01:06:58;1557443218335;10;0;0;5;2;2;3
10.05.2019 01:07:58;1557443278343;10;0;0;9;1;1;3
10.05.2019 01:08:58;1557443338353;10;0;3;4;2;2;3
10.05.2019 01:09:58;1557443398361;10;0;0;9;2;2;3
10.05.2019 01:10:58;1557443458370;10;0;3;9;1;1;3
10.05.2019 01:11:58;1557443518377;10;0;0;7;2;2;3
10.05.2019 01:13:07;1557443587432;10;0;0;7;2;1;3
10.05.2019 01:14:18;1557443658397;10;0;2;9;2;1;3
10.05.2019 01:15:18;1557443718406;10;0;3;5;2;2;3
10.05.2019 01:16:18;1557443778413;10;0;0;9;2;1;3
10.05.2019 01:17:18;1557443838422;10;0;0;9;2;2;3
10.05.2019 01:18:27;1557443907453;10;0;0;5;2;2;3
10.05.2019 01:19:37;1557443977441;10;0;0;9;1;1;3
10.05.2019 01:20:37;1557444037450;10;0;0;5;2;2;3
10.05.2019 01:21:37;1557444097458;10;0;0;9;1;2;3
10.05.2019 01:22:37;1557444157501;10;0;0;9;1;1;3
10.05.2019 01:23:47;1557444227487;20;0;0;7;2;2;3
10.05.2019 01:24:57;1557444297486;10;0;0;4;2;2;3
10.05.2019 01:25:57;1557444357495;10;0;1;5;2;2;3
10.05.2019 01:26:57;1557444417502;10;0;0;9;2;1;3
10.05.2019 01:27:57;1557444477511;10;0;3;7;1;2;3
