Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye;InsideTable2;InsideWork2
09.07.2019 00:00:31;1562623231363;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:01:31;1562623291364;10.00;0.00;0.03;0.00;0.00;24.00;3.00;0.00;0.00
09.07.2019 00:02:31;1562623351366;10.00;0.00;0.03;0.00;0.00;24.00;2.00;0.00;0.00
09.07.2019 00:03:31;1562623411367;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
09.07.2019 00:04:31;1562623471368;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
09.07.2019 00:05:31;1562623531369;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
09.07.2019 00:06:31;1562623591370;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
09.07.2019 00:07:31;1562623651372;10.00;0.00;0.03;0.00;0.00;32.00;2.00;0.00;0.00
09.07.2019 00:08:31;1562623711373;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
09.07.2019 00:09:31;1562623771374;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:10:31;1562623831376;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
09.07.2019 00:11:31;1562623891376;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
09.07.2019 00:12:31;1562623951378;10.00;0.00;0.03;0.00;0.00;24.00;3.00;0.00;0.00
09.07.2019 00:13:31;1562624011379;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
09.07.2019 00:14:31;1562624071382;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:15:31;1562624131382;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:16:31;1562624191384;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:17:31;1562624251384;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:18:31;1562624311385;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:19:31;1562624371386;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
09.07.2019 00:20:31;1562624431387;10.00;0.00;0.03;0.00;0.00;32.00;2.00;0.00;0.00
09.07.2019 00:21:31;1562624491389;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
09.07.2019 00:22:31;1562624551390;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
09.07.2019 00:23:31;1562624611392;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
09.07.2019 00:24:31;1562624671392;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
09.07.2019 00:25:31;1562624731395;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:26:31;1562624791396;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:27:31;1562624851396;10.00;0.00;0.03;0.00;0.00;23.00;3.00;0.00;0.00
09.07.2019 00:28:31;1562624911397;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
09.07.2019 00:29:31;1562624971400;10.00;0.00;0.03;0.00;0.00;25.00;3.00;0.00;0.00
09.07.2019 00:30:31;1562625031400;10.00;0.00;0.03;0.00;0.00;24.00;3.00;0.00;0.00
09.07.2019 00:31:31;1562625091401;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
09.07.2019 00:32:31;1562625151402;10.00;0.00;0.03;0.00;0.00;29.00;3.00;0.00;0.00
09.07.2019 00:33:31;1562625211404;10.00;0.00;0.03;0.00;0.00;23.00;3.00;0.00;0.00
09.07.2019 00:34:31;1562625271405;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
09.07.2019 00:35:31;1562625331406;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
